"id","username","password","email","user_data","created_at","updated_at","selected_conditions"
13,"grape","$2b$12$uI0HbsiycgXJZFzdEo7JzOaMvfT7ch6npDipRMaOG3q9EXDk7Epae","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [""MAGIC FILTER RAHIM"", ""STRONG STOCKS NEGATIVE"", ""RA Inventor BUY"", ""RA Inventor SELL""], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""grape"", ""phone"": """", ""theme"": ""dark"", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": ""http://127.0.0.1:5000/static/user_photos/default_free.png""}, ""password"": ""$2b$12$uI0HbsiycgXJZFzdEo7JzOaMvfT7ch6npDipRMaOG3q9EXDk7Epae"", ""username"": ""grape"", ""conditions"": []}}","2025-07-07 14:02:58.558368","2025-07-09 08:42:42.282772",NULL
15,"apple","$2b$12$f1KlJxQXrzzROCVZ//kbv.uUzxksELAD7UvYHz8FfoVoeMbN6UFnG","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [""KHAIZER"", ""CROSSED""], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""apple"", ""phone"": """", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": """"}, ""password"": ""$2b$12$f1KlJxQXrzzROCVZ//kbv.uUzxksELAD7UvYHz8FfoVoeMbN6UFnG"", ""username"": ""apple"", ""conditions"": []}}","2025-07-07 16:14:57.199191","2025-07-07 16:13:50.539245",NULL
16,"indianplans","$2b$12$EW9hfSbT.RAfoXoxOCdLHOt.XGb997UPfWVQgXl0VlPuDbpZ9lit.","indianplans@gmail.com","{""account"": {""email"": ""indianplans@gmail.com"", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""indianplans"", ""phone"": """", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": """"}, ""password"": ""$2b$12$EW9hfSbT.RAfoXoxOCdLHOt.XGb997UPfWVQgXl0VlPuDbpZ9lit."", ""username"": ""indianplans"", ""conditions"": []}}","2025-07-07 18:23:44.170331","2025-07-07 18:23:44.170331",NULL
17,"aaa","$2b$12$7tMmZxsWotDKDFXVn.e2menxKgpFYBaiKW.54mZVdkmgLps/RB792","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""aaa"", ""phone"": """", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": ""https://pitk1-3.onrender.com/static/user_photos/default_free.png""}, ""password"": ""$2b$12$7tMmZxsWotDKDFXVn.e2menxKgpFYBaiKW.54mZVdkmgLps/RB792"", ""username"": ""aaa"", ""conditions"": [{""id"": ""user_condition_1751947406024"", ""link"": ""#"", ""name"": ""SUPERTREND 1 HOUR"", ""chart_link"": """", ""scan_clause"": ""( {57960} ( [0] 1 hour supertrend ( 10 , 1 ) > [0] 1 hour supertrend ( 10 , 3 ) and [ -1 ] 1 hour supertrend ( 10 , 1 ) <= [ -1 ] 1 hour supertrend ( 10 , 3 ) ) )""}, {""id"": ""user_condition_1751946935191"", ""link"": ""#"", ""name"": ""MULTI DAY"", ""chart_link"": """", ""scan_clause"": ""( {cash} ( latest max ( 5 , latest close ) > 6 days ago max ( 120 , latest close ) * 1.05 and latest volume > latest sma ( volume,5 ) * 1.5 and latest close > 1 day ago close ) )""}, {""id"": ""user_condition_1751946904935"", ""link"": ""#"", ""name"": ""MULTI WEEK"", ""chart_link"": """", ""scan_clause"": ""( {cash} ( weekly max ( 5 , weekly close ) > 6 days ago max ( 120 , latest close ) * 1.05 and weekly volume > weekly sma ( volume,5 ) and weekly close > 1 week ago close ) )""}, {""id"": ""user_condition_1751946866416"", ""link"": ""#"", ""name"": ""MULTI YEAR BREAKOUT"", ""chart_link"": """", ""scan_clause"": ""( {cash} ( latest high = latest max ( 520 , latest high ) or latest high = latest max ( 780 , latest high ) or latest high = latest max ( 1040 , latest high ) or latest high = latest max ( 1300 , latest high ) or latest high = latest max ( 1560 , latest high ) or latest high = latest max ( 1820 , latest high ) or latest high = latest max ( 2080 , latest high ) or latest high = latest max ( 2340 , latest high ) or latest high = latest max ( 2600 , latest high ) or latest volume > 100000000 ) )""}], ""refresh_interval"": 60}}","2025-07-08 03:52:31.933367","2025-07-08 03:52:31.933367",NULL
18,"12345","$2b$12$KuD9I77wmwvvpin41ldNquOvn7frFvm/9ISFKpy2NU4jzOprmJnzG","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""12345"", ""phone"": """", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": """"}, ""password"": ""$2b$12$KuD9I77wmwvvpin41ldNquOvn7frFvm/9ISFKpy2NU4jzOprmJnzG"", ""username"": ""12345"", ""conditions"": []}}","2025-07-08 04:22:14.054249","2025-07-08 04:22:14.054249",NULL
19,"imjjrobo@gmail.com","$2b$12$GX3fdyJ/3vpsDPHxp/VNwe.8eJYWMp5saRIlkpEZTdqvCgypogPGK","imjjrobo@gmail.com","{""account"": {""email"": ""imjjrobo@gmail.com"", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": ""1975-09-30"", ""name"": """", ""email"": ""imjjrobo@gmail.com"", ""theme"": ""dark"", ""gender"": ""Male"", ""premium"": ""no"", ""photo_url"": ""/static/uploads/ba8ac85c-3e1c-4d9d-b4c6-27c3f83f55cd_profile.png"", ""photo_path"": ""/static/uploads/ba8ac85c-3e1c-4d9d-b4c6-27c3f83f55cd_profile.png""}, ""password"": ""$2b$12$GX3fdyJ/3vpsDPHxp/VNwe.8eJYWMp5saRIlkpEZTdqvCgypogPGK"", ""username"": ""imjjrobo@gmail.com"", ""conditions"": [{""id"": ""user_condition_1753289835830"", ""link"": ""https://chartink.com/screener/copy-copy-high-volatile-stocks-day-trade-or-btst-56"", ""name"": ""Chanu Volatile"", ""chart_link"": ""https://chartink.com/screener/copy-copy-high-volatile-stocks-day-trade-or-btst-56"", ""scan_clause"": ""( {cash} ( ( {cash} ( latest avg true range ( 3 ) / latest close > 0.05 ) ) and ( {cash} ( latest close > 100 ) ) and ( {cash} ( latest close - latest open > .05 * latest close ) ) ) )""}, {""id"": ""user_condition_1753164743578"", ""link"": ""https://chartink.com/screener/daily-perce"", ""name"": ""ADX"", ""chart_link"": ""https://chartink.com/screener/daily-perce"", ""scan_clause"": ""( {cash} ( latest \""close - 1 candle ago close / 1 candle ago close * 100\"" >= 5 and latest volume > latest sma ( latest volume , 20 ) and latest close > 100 and latest close <= 1500 and latest adx ( 14 ) > 20 and [0] 2 hour adx ( 14 ) >= 40 ) )""}, {""id"": ""user_condition_1752764249496"", ""link"": ""https://chartink.com/screener/18-51199"", ""name"": ""Gapup 16%+"", ""chart_link"": ""https://chartink.com/screener/18-51199"", ""scan_clause"": ""( {cash} ( latest close > 1 day ago close * 1.16 ) )""}, {""id"": ""user_condition_1752653371536"", ""link"": ""https://chartink.com/screener/volatile-7-days"", ""name"": ""ST VWAP"", ""chart_link"": ""https://chartink.com/screener/ema-3-11082253"", ""scan_clause"": ""( {cash} ( [0] 5 minute close <= 2251 and [0] 5 minute ema ( [0] 5 minute close , 9 ) > [0] 5 minute ema ( [0] 5 minute close , 21 ) and [0] 5 minute supertrend ( 10 , 1 ) >= [0] 5 minute vwap and [0] 5 minute close > [=1] 5 minute open * 1.025 and [0] 5 minute open > latest low ) )""}, {""id"": ""user_condition_1752479300924"", ""link"": ""https://chartink.com/screener/copy-copy-multiyear-breakout-8600754"", ""name"": ""MULTI YEAR BREAKOUT"", ""chart_link"": ""https://chartink.com/screener/copy-copy-multiyear-breakout-8600754"", ""scan_clause"": ""( {57960} ( latest high = latest max ( 519 , latest high ) or latest high = latest max ( 520 , latest high ) or latest high = latest max ( 779 , latest high ) or latest high = latest max ( 780 , latest high ) or latest high = latest max ( 1040 , latest high ) or latest high = latest max ( 1300 , latest high ) or latest high = latest max ( 1560 , latest high ) or latest high = latest max ( 1820 , latest high ) or latest high = latest max ( 2080 , latest high ) or latest high = latest max ( 2340 , latest high ) or latest high = latest max ( 2600 , latest high ) or latest volume > 2000000 or latest close < 2251 or latest close > 20 or latest high > 1 day ago high or 1 day ago high > 2 days ago high or 2 days ago high > 3 days ago high ) )""}, {""id"": ""user_condition_1752476601144"", ""link"": ""https://chartink.com/screener/92100"", ""name"": ""92100"", ""chart_link"": ""https://chartink.com/screener/92100"", ""scan_clause"": ""( {57960} ( [0] 5 minute ema ( [0] 5 minute close , 9 ) > [0] 5 minute ema ( [0] 5 minute close , 21 ) and [ -1 ] 5 minute ema ( [0] 5 minute close , 9 )<= [ -1 ] 5 minute ema ( [0] 5 minute close , 21 ) and [0] 5 minute close <= 2500 ) )""}, {""id"": ""user_condition_1752068355821"", ""link"": ""https://chartink.com/screener/percent-221"", ""name"": ""Gapup 17%+"", ""chart_link"": ""https://chartink.com/screener/percent-221"", ""scan_clause"": ""( {cash} ( latest close > 1 day ago close * 1.17 and latest close <= 2250 ) )""}, {""id"": ""user_condition_1752067834225"", ""link"": ""https://chartink.com/screener/chanu5"", ""name"": ""Chanu EMA 5-200"", ""chart_link"": ""https://chartink.com/screener/chanu5"", ""scan_clause"": ""( {cash} ( latest ema ( latest close , 5 ) > latest ema ( latest close , 200 ) and 1 day ago  ema ( latest close , 5 )<= 1 day ago  ema ( latest close , 200 ) and latest close > latest max ( 20 , latest vwap ) and latest volume > 1 day ago volume * 1 and latest volume > latest sma ( latest volume , 5 ) * 0.75 and latest close < 2250 and latest volume > 1 day ago volume * 1 and latest volume > latest sma ( latest volume , 20 ) * 2 and latest close > latest open and latest high - latest low > latest sma ( latest high - latest low , 5 ) * 1.5 and latest close > latest ema ( latest close , 20 ) and latest max ( 10 , latest high ) > latest min ( 10 , latest low ) * 1.05 and latest volume > latest sma ( latest volume , 20 ) and latest max ( 50 , latest high ) / latest min ( 50 , latest low ) >= 1.35 ) )""}], ""refresh_interval"": 120}}","2025-07-08 15:29:01.992448","2025-07-23 17:44:34.223637",NULL
20,"sss","$2b$12$raAubeUJUK/t5VTR8La.gO.KIe2n2vDfTW8lzPRwnWloWlEmmhJqe","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""sss"", ""phone"": """", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": """"}, ""password"": ""$2b$12$raAubeUJUK/t5VTR8La.gO.KIe2n2vDfTW8lzPRwnWloWlEmmhJqe"", ""username"": ""sss"", ""conditions"": []}}","2025-07-09 03:38:30.80265","2025-07-09 03:38:30.80265",NULL
21,"525","$2b$12$cww20d0dI3CO364OB5htjOP3kWBMkO47mEEqDghIbptTsxExaKaVy","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""525"", ""phone"": """", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": """"}, ""password"": ""$2b$12$cww20d0dI3CO364OB5htjOP3kWBMkO47mEEqDghIbptTsxExaKaVy"", ""username"": ""525"", ""conditions"": [{""id"": ""user_condition_1753289915235"", ""link"": ""https://chartink.com/screener/copy-high-volatile-stocks-day-trade-or-btst-1145"", ""name"": ""volatile"", ""chart_link"": ""https://chartink.com/screener/copy-high-volatile-stocks-day-trade-or-btst-1145"", ""scan_clause"": ""( {cash} ( latest avg true range ( 3 ) / latest close > 0.05 and latest close - latest open > .05 * latest close and latest close > 100 ) )""}, {""id"": ""user_condition_1753164889902"", ""link"": ""https://chartink.com/screener/daily-perce"", ""name"": ""daily percentage"", ""chart_link"": ""https://chartink.com/screener/daily-perce"", ""scan_clause"": ""( {cash} ( latest \""close - 1 candle ago close / 1 candle ago close * 100\"" >= 5 and latest volume > latest sma ( latest volume , 20 ) and latest close > 100 and latest close <= 1500 and latest adx ( 14 ) > 20 and [0] 2 hour adx ( 14 ) >= 40 ) )""}, {""id"": ""user_condition_1752647761254"", ""link"": ""https://chartink.com/screener/volume-average-229"", ""name"": ""volume average"", ""chart_link"": ""https://chartink.com/screener/volume-average-229"", ""scan_clause"": ""( {cash} ( latest volume > latest sma ( latest volume , 20 ) and 1 day ago close < latest open and latest rsi  ( 14 ) >= 60 and latest ema ( latest close , 5 ) > weekly ema ( weekly close , 3 ) and latest wma ( latest close , 21 ) > weekly ema ( weekly close , 21 ) and weekly wma ( weekly close , 5 ) > monthly ema ( monthly close , 3 ) and weekly rsi  ( 14 ) > 60 and latest close > 100 ) )""}, {""id"": ""user_condition_1752571308425"", ""link"": ""https://chartink.com/screener/swing-2025-07-15-6"", ""name"": ""swing supertrend 10"", ""chart_link"": ""https://chartink.com/screener/swing-2025-07-15-6"", ""scan_clause"": ""( {cash} ( latest supertrend ( 10 , 1 ) > latest supertrend ( 10 , 3 ) and 1 day ago  supertrend ( 10 , 1 ) <= 1 day ago  supertrend ( 10 , 3 ) and [0] 1 hour supertrend ( 10 , 1 ) > [0] 1 hour supertrend ( 10 , 3 ) and [ -1 ] 1 hour supertrend ( 10 , 1 ) <= [ -1 ] 1 hour supertrend ( 10 , 3 ) ) )""}, {""id"": ""user_condition_1752075987793"", ""link"": ""https://chartink.com/screener/vijay-thakkar-27107"", ""name"": ""Vijay Thakkar swing"", ""chart_link"": ""https://chartink.com/screener/vijay-thakkar-27107"", ""scan_clause"": ""( {57960} ( latest volume > latest sma ( latest volume , 20 ) * 3 and latest close > 100 and latest \""close - 1 candle ago close / 1 candle ago close * 100\"" >= 3 and latest sma ( latest volume , 20 ) >= 25000 and latest volume > 100000 ) )""}, {""id"": ""user_condition_1752075637547"", ""link"": ""https://chartink.com/screener/copy-85-volume-rahim-2"", ""name"": ""volume 85"", ""chart_link"": ""https://chartink.com/screener/copy-85-volume-rahim-2"", ""scan_clause"": ""( {cash} ( latest volume > 1 day ago volume * 0.3 and latest close > 1 day ago close and latest volume > 1000000 and 1 day ago volume > 500000 and [=1] 5 minute close < [=1] 5 minute open * 1.03 ) )""}, {""id"": ""user_condition_1752073802695"", ""link"": ""https://chartink.com/screener/copy-vlr-monthly-breakout-233"", ""name"": ""monthly bo"", ""chart_link"": ""https://chartink.com/screener/copy-vlr-monthly-breakout-233"", ""scan_clause"": ""( {cash} ( latest close > 1 month ago high and latest close > 2 months ago high and latest ema ( close,21 ) > latest ema ( close,50 ) and latest close > latest ema ( close,21 ) and latest volume > latest ema ( close,10 ) and latest volume > 1000000 and latest close > 100 and latest close < 1000 ) )""}, {""id"": ""user_condition_1752072724257"", ""link"": ""https://chartink.com/screener/copy-ds-201"", ""name"": ""deepseek volume breakout"", ""chart_link"": ""https://chartink.com/screener/copy-ds-201"", ""scan_clause"": ""( {cash} ( latest close > 50 and latest close < 2250 and latest volume > latest sma ( latest volume , 5 ) * 2.5 and latest volume > 1 day ago volume * 1.8 and latest volume > latest sma ( latest volume , 20 ) * 2 and latest close > latest open and latest high - latest low > latest sma ( latest high - latest low , 5 ) * 1.5 and latest close > latest ema ( latest close , 20 ) and latest close > latest max ( 20 , latest vwap ) and [=1] 5 minute close < [=1] 5 minute open * 1.03 ) )""}, {""id"": ""user_condition_1752072170158"", ""link"": ""https://chartink.com/screener/copy-multiyear-breakout-6600"", ""name"": ""multiyeat bo"", ""chart_link"": ""https://chartink.com/screener/copy-multiyear-breakout-6600"", ""scan_clause"": ""( {cash} ( latest high = latest max ( 520 , latest high ) or latest high = latest max ( 780 , latest high ) or latest high = latest max ( 1040 , latest high ) or latest high = latest max ( 1300 , latest high ) or latest high = latest max ( 1560 , latest high ) or latest high = latest max ( 1820 , latest high ) or latest high = latest max ( 2080 , latest high ) or latest high = latest max ( 2340 , latest high ) or latest high = latest max ( 2600 , latest high ) or latest volume >= 5000000 ) )""}, {""id"": ""user_condition_1752072113310"", ""link"": ""https://chartink.com/screener/copy-copy-weekly-breakout-1373"", ""name"": ""weekly break"", ""chart_link"": ""https://chartink.com/screener/copy-copy-weekly-breakout-1373"", ""scan_clause"": ""( {cash} ( weekly max ( 5 , weekly close ) > 6 days ago max ( 120 , latest close ) * 1.05 and weekly volume > weekly sma ( volume,5 ) and weekly close > 1 week ago close ) )""}, {""id"": ""user_condition_1752072022309"", ""link"": ""https://chartink.com/screener/copy-daily-breakouts-137"", ""name"": ""day breakout"", ""chart_link"": ""https://chartink.com/screener/copy-daily-breakouts-137"", ""scan_clause"": ""( {cash} ( latest max ( 5 , latest close ) > 6 days ago max ( 120 , latest close ) * 1.05 and latest volume > latest sma ( volume,5 ) * 1.5 and latest close > 1 day ago close ) )""}, {""id"": ""user_condition_1752071567901"", ""link"": ""https://chartink.com/screener/copy-chanu5-2"", ""name"": ""5-200 cross"", ""chart_link"": ""https://chartink.com/screener/copy-chanu5-2"", ""scan_clause"": ""( {cash} ( latest ema ( latest close , 5 ) > latest ema ( latest close , 200 ) and 1 day ago  ema ( latest close , 5 )<= 1 day ago  ema ( latest close , 200 ) and latest close > latest max ( 20 , latest vwap ) and latest volume > 1 day ago volume * 1 and latest volume > latest sma ( latest volume , 5 ) * 0.75 and latest close < 2250 and latest volume > 1 day ago volume * 1 and latest volume > latest sma ( latest volume , 20 ) * 2 and latest close > latest open and latest high - latest low > latest sma ( latest high - latest low , 5 ) * 1.5 and latest close > latest ema ( latest close , 20 ) and latest max ( 10 , latest high ) > latest min ( 10 , latest low ) * 1.05 and latest volume > latest sma ( latest volume , 20 ) and latest max ( 50 , latest high ) / latest min ( 50 , latest low ) >= 1.35 ) )""}, {""id"": ""user_condition_1752071326759"", ""link"": ""https://chartink.com/screener/p45789"", ""name"": ""volume"", ""chart_link"": ""https://chartink.com/screener/p45789"", ""scan_clause"": ""( {57960} ( vvv ) )""}]}}","2025-07-09 14:24:45.146148","2025-07-23 16:57:15.795239",NULL
22,"999","$2b$12$s8pgLmF0vMmbSAx5SIchPOj5TiVS8KfjvDMdBjF12jFIJenCRW5Re","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""999"", ""phone"": """", ""theme"": ""light"", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": ""https://pitk1-1.onrender.com/static/user_photos/default_free.png""}, ""password"": ""$2b$12$s8pgLmF0vMmbSAx5SIchPOj5TiVS8KfjvDMdBjF12jFIJenCRW5Re"", ""username"": ""999"", ""conditions"": []}}","2025-07-10 04:09:23.578646","2025-07-10 04:09:23.578646",NULL
23,"555","$2b$12$.tkJ70WXHtwRJrN4g7Nj.OG2T.UjaWFTNtW9pqxfNUtlR88K.452q","","{""account"": {""email"": """", ""misc1"": [], ""misc2"": [], ""misc3"": [], ""misc4"": [], ""misc5"": [], ""misc6"": [], ""misc7"": [], ""misc8"": [], ""misc9"": [], ""misc10"": [], ""profile"": {""bio"": """", ""dob"": """", ""name"": ""555"", ""phone"": """", ""gender"": ""Prefer not to say"", ""address"": """", ""premium"": ""no"", ""photo_url"": """"}, ""password"": ""$2b$12$.tkJ70WXHtwRJrN4g7Nj.OG2T.UjaWFTNtW9pqxfNUtlR88K.452q"", ""username"": ""555"", ""conditions"": []}}","2025-07-10 04:39:56.745784","2025-07-10 04:39:56.745784",NULL
